Speaker,Rand,Pros,WordPF,DurwPF,VowelPF,DurvowelPF,WordF,DurwF,VowelF,DurvowelF
FC,rand2,List,ramo,0.44,o,0.09,como',0.30,o',0.07
FC,rand2,List,sofa',0.46,a',0.15,bara,0.38,a,0.10
FC,rand2,List,mali,0.40,i,0.11,baro,0.38,o,0.08
FF,rand2,List,casa,0.53,a,0.14,mali,0.40,i,0.07
FF,rand2,List,gile',0.40,e',0.15,toto',0.37,o',0.12
FF,rand2,List,pupi,0.51,i,0.14,mimi',0.37,i',0.11
FF,rand2,List,nana',0.42,a',0.19,bepi,0.49,i,0.13
FF,rand2,List,meta',0.44,a',0.20,case,0.47,e,0.11
FF,rand2,List,pate',0.50,e',0.20,kali',0.35,i',0.10
FF,rand2,List,palo,0.54,o,0.14,tate,0.40,e,0.08
FF,rand2,List,tate,0.53,e,0.16,para',0.39,a',0.14
FF,rand2,List,tana,0.50,a,0.14,falo',0.37,o',0.12
FF,rand2,List,bara,0.53,a,0.17,cile,0.51,e,0.11
FF,rand2,List,baro,0.52,o,0.17,tana,0.44,a,0.11
FF,rand2,List,toto',0.49,o',0.24,bide',0.39,e',0.15
FF,rand2,List,mimi',0.46,i',0.19,meta',0.32,a',0.11
FF,rand2,List,rita,0.45,a,0.17,ramo,0.46,o,0.09
FF,rand2,List,como',0.47,o',0.23,pupi,0.50,i,0.14
FF,rand2,List,tito,0.47,o,0.16,remi,0.38,i,0.10
FF,rand2,List,kepi',0.46,i',0.16,maro',0.37,o',0.13
FF,rand2,List,remi,0.41,i,0.12,nana',0.34,a',0.13
FF,rand2,List,falo',0.48,o',0.21,tito,0.46,o,0.11
FF,rand2,List,cile,0.53,e,0.15,pipi',0.38,i',0.15
FF,rand2,List,mose',0.47,e',0.17,casa,0.46,a,0.12
FF,rand2,List,pipi',0.41,i',0.17,gile',0.36,e',0.13
FF,rand2,List,case,0.56,e,0.15,sede,0.43,e,0.09
FF,rand2,List,para',0.47,a',0.20,pate',0.41,e',0.15
FF,rand2,List,bide',0.42,e',0.18,mose',0.45,e',0.16
FF,rand2,List,kali',0.44,i',0.18,kepi',0.41,i',0.15
FF,rand2,List,sede,0.51,e,0.16,sofa',0.46,a',0.14
FF,rand2,List,maro',0.44,o',0.20,rita,0.39,a,0.13
FF,rand2,List,bepi,0.51,i,0.14,palo,0.41,o,0.08
FF,rand2,List,ramo,0.52,o,0.15,como',0.37,o',0.12
FF,rand2,List,sofa',0.53,a',0.19,bara,0.43,a,0.10
FF,rand2,List,mali,0.53,i,0.17,baro,0.42,o,0.10
MM,rand1,List,bide',0.39,e',0.18,mose',0.38,e',0.10
MM,rand1,List,pipi',0.35,i',0.12,gile',0.31,e',0.11
MM,rand1,List,tate,0.46,e,0.11,para',0.32,a',0.11
MM,rand1,List,pate',0.39,e',0.14,kali',0.27,i',0.08
MM,rand1,List,meta',0.39,a',0.17,case,0.42,e,0.09
